模型类别,模型,证据来源,角色定位,说明,RMSE,MAE,MAPE,方向命中率,最大绝对误差,第60天价格,第90天价格,第120天价格,第180天价格,第180天价格_P05,第180天价格_P50,第180天价格_P95,外推期最高价,外推期均价,突破120概率,突破130概率,二次跳涨风险,质量评分
短期机器学习辅助,机制+阶段Ridge修正,output/calibration/短期机器学习模型对比.csv,机器学习残差/收益率辅助,仅在高位平台与中期再定价两个残差薄弱段启用Ridge收益率修正,3.2777915752266753,2.7800715458060457,2.790097172976775,66.66666666666666,6.692749341798319,,,,,,,,,,,,,
短期机器学习辅助,朴素上一日基准,output/calibration/短期机器学习模型对比.csv,机器学习残差/收益率辅助,预测今日价格等于上一交易日前收盘价,4.4559337576061315,3.595434782608695,3.605056499873202,46.666666666666664,10.819999999999991,,,,,,,,,,,,,
质量闸门,拟合精度,output/calibration/短期模型最终质量闸门.csv,通过,"RMSE=3.466, MAE=2.869, MAPE=2.88%；样本为事件窗口条件解释，不是普通交易日逐日预测。",,,,,,,,,,,,,,,,,,5.0
质量闸门,基准优势,output/calibration/短期模型最终质量闸门.csv,通过,"Theil U=0.776, 相对朴素RMSE改善=22.4%, 最强基准RMSE=4.467；朴素基准很强，必须保留 DM 检验和方向命中证据。",,,,,,,,,,,,,,,,,,5.0
质量闸门,机器学习辅助,output/calibration/短期模型最终质量闸门.csv,谨慎通过,"机制+Ridge相对机制RMSE改善=5.44%, 方向提升=0.0pct；纯Ridge相对机制=-31.5%；建议写作：机制模型为主，Ridge 只作为滞后特征辅助修正层。",,,,,,,,,,,,,,,,,,4.3
质量闸门,历史滚动验证,output/calibration/短期模型最终质量闸门.csv,谨慎通过,历史Ridge胜过朴素窗口占比=44.0%，冲突窗口Ridge改善=-2.95%；这不是坏事，而是支持论文不要把 LSTM/Ridge 写成主模型。,,,,,,,,,,,,,,,,,,4.0
质量闸门,滞后复制风险,output/calibration/短期模型最终质量闸门.csv,通过,最优平移=0天，左移1天RMSE劣化=0.351；仍需配合拐点图说明个别日度噪声无法完全提前捕捉。,,,,,,,,,,,,,,,,,,5.0
质量闸门,拐点解释,output/calibration/短期模型最终质量闸门.csv,谨慎通过,同步或提前捕捉=10/10，同日幅度中位捕捉率=0.11；模型能解释方向和平台，不宜声称精确捕捉所有单日跳幅。,,,,,,,,,,,,,,,,,,4.2
质量闸门,分段稳定性,output/calibration/短期模型最终质量闸门.csv,通过,"最差删块RMSE=4.504, 删块RMSE标准差=0.599；最难片段集中在中期平台再定价，应在论文里主动说明。",,,,,,,,,,,,,,,,,,4.4
质量闸门,参数稳健性,output/calibration/短期模型最终质量闸门.csv,通过,局部优秀扰动占比=99.5%；这是局部稳健性，不代表任意参数都优秀。,,,,,,,,,,,,,,,,,,5.0
质量闸门,残差结构,output/calibration/短期模型最终质量闸门.csv,谨慎通过,"Ljung-Box lag10 p=0.508, ARCH-LM p=0.551, 平方残差LB p=0.039；金融残差有波动聚集迹象，R/GARCH 只能作审计，不替代机制模型。",,,,,,,,,,,,,,,,,,4.0
传统供需反事实,传统供需基准-低中断,output/baseline/传统供需基准模型结果.csv,反事实压力上界,线性反事实价格=278.198，常弹性机械上界=1494.863,,,,,,,,,,,,,278.198,,,,,
传统供需反事实,传统供需基准-中中断,output/baseline/传统供需基准模型结果.csv,反事实压力上界,线性反事实价格=307.482，常弹性机械上界=2393.231,,,,,,,,,,,,,307.4819999999999,,,,,
传统供需反事实,传统供需基准-高中断,output/baseline/传统供需基准模型结果.csv,反事实压力上界,线性反事实价格=336.766，常弹性机械上界=3875.193,,,,,,,,,,,,,336.76599999999996,,,,,
长期确定性情景,长期三情景-乐观情景,output/scenarios/三情景关键指标.csv,60-180天条件中心路径,长期无真实标签，作为条件情景外推，不按短期拟合 RMSE 排名。,,,,,,109.63247278526502,93.49634062668204,90.75725749539885,86.25607513727198,,,,104.65316200781392,90.8203955249528,,,低,
长期确定性情景,长期三情景-中性情景,output/scenarios/三情景关键指标.csv,60-180天条件中心路径,长期无真实标签，作为条件情景外推，不按短期拟合 RMSE 排名。,,,,,,109.63247278526502,104.23950298653604,97.29740032707028,97.81726809927416,,,,110.86768854231184,98.83871473181053,,,高,
长期确定性情景,长期三情景-悲观情景,output/scenarios/三情景关键指标.csv,60-180天条件中心路径,长期无真实标签，作为条件情景外推，不按短期拟合 RMSE 排名。,,,,,,109.63247278526502,133.84803107734692,125.86464736391314,121.6410080212248,,,,137.75179502848675,127.69582274589015,,,高,
长期概率模型,蒙特卡洛情景树,output/monte_carlo/蒙特卡洛样本指标.csv,尾部风险与分位区间,样本数=2000，用于补足长期中心线过平的问题。,,,,,,,103.2340339126827,102.1651327387509,104.31058647637226,87.76972836963267,104.91271536583153,116.5947800531207,112.57543181917895,103.31184024111775,19.950000000000003,5.0,高缺口概率 91.2%,
长期概率模型,马尔可夫状态转移情景树,output/scenarios/长期状态转移样本指标.csv,状态不确定性与概率区间,"样本数=3000，最终状态占比={'维持': 71.7, '升级': 21.1, '缓和': 7.2}",,,,,,,111.49221208763416,104.21365971728787,100.10886334227388,90.98170052919725,97.59214308044301,116.21423400003738,127.11638693515181,105.10170650091564,85.39999999999999,34.599999999999994,由状态转移路径和突破概率表达,
